raw_designation,normalized_term,pad_category,source_section,source_page,status,notes
"GLUCOSE C6, H12 06 ET AUTRES",glucose c6 h12 06 et autres,T03,2.3.1,9,new,
GLYCERINE BRUTE,glycerine brute,T03,2.3.1,13,new,
HUILES BRUTES VEGETALES OU ANIMALES POUR LA SAVONNERIRE,huiles brutes vegetales ou animales pour la savonnerire,T03,2.3.1,8,new,
HUILES COMESTIBLES EN VRAC NDA,huiles comestibles en vrac nda,T03,2.3.1,10,new,
MATIERE PLASTIQUE BRUTE NDA,matiere plastique brute nda,T03,2.3.1,13,new,
MATIERES PLASTIQUES BRUTES NDA,matieres plastiques brutes nda,T03,2.3.2,20,new,
PRODUITS BRUTS D’ORIGINE ANIMALE ET VEGETALE NDA,produits bruts dorigine animale et vegetale nda,T03,2.3.2,21,new,
PRODUITS BRUTS D’ORIGINE VEGETAL ET VEGETALE NDA,produits bruts dorigine vegetal et vegetale nda,T03,2.3.1,8,new,
SAVONNERIRE,savonnerire,T03,2.3.2,19,new,
SOUDE CAUSTIQUE,soude caustique,T03,2.3.1,13,new,
SOUFFRE NDA,souffre nda,T03,2.3.1,11,new,
SOUFRE NDA,soufre nda,T03,2.3.2,21,new,
SUCRE BRUT ET GRANULE DE SUCRE,sucre brut et granule de sucre,T03,2.3.1,9,new,
SUCRE RAFFINE EN MORCEUAX OU EN POUDRE,sucre raffine en morceuax ou en poudre,T03,2.3.1,9,new,
SUIF,suif,T03,2.3.1,8,new,
TALL- OIL,tall oil,T03,2.3.1,13,new,
"BOIS DEBITES, SCIAGES, TRAVERSES",bois debites sciages traverses,T04,2.3.1,8,new,
BOIS EN GRUMES,bois en grumes,T04,2.3.1,8,new,
"BOIS TRAVAILLES, CONTRE PLAQUES, PLAQUAGES",bois travailles contre plaques plaquages,T04,2.3.1,8,new,
BOISSONS NON ALCOOLISEES,boissons non alcoolisees,T04,2.3.2,17,new,
BOISSONS NON ALCOOLISEES NDA,boissons non alcoolisees nda,T04,2.3.1,9,new,
"CONFISERIE, BONBONS ET SUCRERIES NDA",confiserie bonbons et sucreries nda,T04,2.3.1,9,new,
EAU MINERALE ET NATURELLE,eau minerale et naturelle,T04,2.3.1,9,new,
ENGRAIS NATURELS,engrais naturels,T04,2.3.1,12,new,
ENGRAIS NDA,engrais nda,T04,2.3.1,12,new,
FRIPPERIES ET VETEMENTS USAGERS,fripperies et vetements usagers,T04,2.3.1,15,new,
GLACES ET SOBRETS,glaces et sobrets,T04,2.3.1,9,new,
GLACES ET SORBETS,glaces et sorbets,T04,2.3.3,26,new,
"JUS DE FRUIT, CONCENTRE DE JUS",jus de fruit concentre de jus,T04,2.3.1,9,new,
JUS DE FRUIT ET NATURELLE,jus de fruit et naturelle,T04,2.3.2,19,new,
LAIT EN POUDRE,lait en poudre,T04,2.3.1,9,new,
MIEL,miel,T04,2.3.1,9,new,
OIGNONS COMESTIBLES,oignons comestibles,T04,2.3.1,8,new,
POISSONS SALES SECHES,poissons sales seches,T04,2.3.1,9,new,
POMME DE TERRE ET SEMENCE DE POMME DE TERRE,pomme de terre et semence de pomme de terre,T04,2.3.2,21,new,
"PORDUITS PHARMACEUTIQUES, MEDICAMENTS",porduits pharmaceutiques medicaments,T04,2.3.1,13,new,
POTASSE NDA,potasse nda,T04,2.3.1,12,new,
ACIDE PHOSPHORIQUE ICS,acide phosphorique ics,T05,2.3.1,13,new,
BLE (WHEAT ANGLAIS),ble wheat anglais,T05,2.3.1,8,new,
CÉRÉALES NDA (2),cereales nda 2,T05,2.3.2,17,new,
CÉRÉALES NDA(2),cereales nda2,T05,2.3.1,8,new,
CIMENT,ciment,T05,2.3.1,12,new,
ENGRAIS ICS,engrais ics,T05,2.3.1,12,new,
"HOUBLON, GRUAUX, MALT",houblon gruaux malt,T05,2.3.1,10,new,
MAIS ET FARINE DE MAIS,mais et farine de mais,T05,2.3.1,8,new,
"MIL, SORGO",mil sorgo,T05,2.3.1,8,new,
PLATRE EN SAC,platre en sac,T05,2.3.1,12,new,
POTASSE ICS,potasse ics,T05,2.3.1,12,new,
PRODUITS ICS NDA,produits ics nda,T05,2.3.1,12,new,
RIZ,riz,T05,2.3.1,8,already_exists,Alias existant confirmé (seed Phase PAD-1)
SOUFFRE ICS,souffre ics,T05,2.3.1,11,new,
SOUFRE ICS,soufre ics,T05,2.3.2,21,new,
AMONIAC,amoniac,T06,2.3.1,13,new,
BUTANE EN VRAC,butane en vrac,T06,2.3.1,10,new,
DIESEL OIL,diesel oil,T06,2.3.1,10,new,
FUEL OIL,fuel oil,T06,2.3.1,10,new,
GASOIL,gasoil,T06,2.3.1,10,new,
PHOSPHATES D’ALLUMINE,phosphates dallumine,T06,2.3.2,20,new,
PHOSPHATES D’ALUMINE,phosphates dalumine,T06,2.3.1,12,new,
PHOSPHATES DE CALCIUM,phosphates de calcium,T06,2.3.1,12,new,
ALCOOL INDUSTRIEL,alcool industriel,T07,2.3.2,16,conflict,"Conflit: alcool industriel → T07, T12"
"ALIMENT DE BETAIL, SON ET TOURTERAUX NDA",aliment de betail son et tourteraux nda,T07,2.3.2,16,new,
AMIANTE,amiante,T07,2.3.1,12,new,
ARACHIDES DECORTIQUEES,arachides decortiquees,T07,2.3.1,10,new,
ARGILE ET CRAIE EN POUDRE,argile et craie en poudre,T07,2.3.1,11,new,
AUTRES MATIERES TEXTILES NDA,autres matieres textiles nda,T07,2.3.1,8,new,
CHARBON,charbon,T07,2.3.2,17,new,
CHARBON DE TERRE,charbon de terre,T07,2.3.1,10,new,
CHAUX ETEINTE,chaux eteinte,T07,2.3.1,12,new,
CHIFFONS ET DECHETS DE TEXTILES,chiffons et dechets de textiles,T07,2.3.1,8,new,
CLINKER,clinker,T07,2.3.1,12,new,
COKE,coke,T07,2.3.1,10,new,
COTON EGRENE EN BALLE OU BIG BAG,coton egrene en balle ou big bag,T07,2.3.1,8,new,
FARINE DE BLE,farine de ble,T07,2.3.1,10,new,
FARINE DE POISSON,farine de poisson,T07,2.3.2,18,new,
GRAINES DE TOURNESOL ET GRAINES OLEAGINEUX NDA,graines de tournesol et graines oleagineux nda,T07,2.3.2,19,new,
GRAINES ET SEMENCES NDA (sauf semences de pom.de terres),graines et semences nda sauf semences de pomde terres,T07,2.3.2,19,new,
GRAINES ET SEMENCES NDA (sauf semences de pomme de terres),graines et semences nda sauf semences de pomme de terres,T07,2.3.3,27,new,
GRAINES ET SEMENCES NDA (sauf semences de pommes de terres),graines et semences nda sauf semences de pommes de terres,T07,2.3.1,8,new,
GYPSE,gypse,T07,2.3.1,12,new,
MELASSE DE CANNE,melasse de canne,T07,2.3.1,9,new,
MINERAIS BRUTS,minerais bruts,T07,2.3.1,11,new,
OLEAGINEUX NDA,oleagineux nda,T07,2.3.1,10,new,
"SABLE, PIERRES DE CONSTRUCTION",sable pierres de construction,T07,2.3.1,11,new,
"SABLE, PIERRES DE CONSTRUCTIONS",sable pierres de constructions,T07,2.3.3,27,new,
SEMOULE ET AUTRES FARINE DE CERALES NDA,semoule et autres farine de cerales nda,T07,2.3.1,10,new,
SEMOULE ET AUTRES FARINES DE CERALES NDA,semoule et autres farines de cerales nda,T07,2.3.2,21,new,
TERRES REFRACRTAIRE,terres refracrtaire,T07,2.3.3,27,new,
TERRES REFRACRTAIRES,terres refracrtaires,T07,2.3.1,12,new,
ATTAPULGITE,attapulgite,T08,2.3.1,11,new,
CELLULOSE ET PATE A PAPIER,cellulose et pate a papier,T08,2.3.1,13,new,
