"hs_code;description;us;dd;rs;pcs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0301.94.10.00;Alevins;kg;5;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0301.94.90.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0301.95.10.00;Alevins;kg;5;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0301.95.90.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0301.99.10.00;Alevins;kg;5;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0301.99.90.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.11.00.00;Truites (Salmo trutta"," Oncorhynchus mykiss"," On-;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.13.00.00;Saumons du Pacifique (Oncorhynchus nerka",";kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.14.00.00;Saumons de l'Atlantique (Salmo salar) et;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.19.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.21.00.00;Flétans (Reinhardtius hippoglossoides"," Hippo-;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.22.00.00;Plies ou carrelets (Pleuronectes platessa);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.23.00.00;Soles (Solea spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.24.00.00;Turbots (Psetta maxima);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.29.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.31.00.00;Thons blancs ou germons (Thunnus alalunga);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.32.00.00;Thons à nageoires jaunes (Thunnus albacares);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.33.00.00;Listaos ou bonites à ventre rayé;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.34.00.00;Thons obèses (Thunnus obesus);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.35.00.00;Thons rouges de l'Atlantique et du Pacifique;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.36.00.00;Thons rouges du sud (Thunnus maccoyii);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.39.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.41.00.00;Harengs (Clupea harengus"," Clupea pallasii);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.42.00.00;Anchois (Engraulis spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.43.00.00;Sardines (Sardina pilchardus"," Sardinops spp.)",";kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.44.00.00;Maquereaux (Scomber scombrus"," Scomber;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.45.00.00;Chinchards (Trachurus spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.46.00.00;Mafous (Rachycentron canadum);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.47.00.00;Espadons (Xiphias gladius);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.49.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.51.00.00;Morues (Gadus morhua"," Gadus ogac"," Gadus;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.52.00.00;Eglefins (Melanogrammus aeglefinus);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.53.00.00;Lieus noirs (Pollachius virens);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.54.00.00;Merlus (Merluccius spp."," Urophycis spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.55.00.00;Lieus d’Alaska (Theragra chalcogramma );kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.56.00.00;Merlans bleus (Micromesistius poutassou"," Mi-;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.59.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.71.00.00;Tilapias (Oreochromis spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.72.00.00;Siluridés (Pangasius spp."," Silurus spp."," Clarias;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.73.00.00;Carpes (Cyprinus spp."," Carassius spp.",";kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.74.00.00;Anguilles (Anguilla spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.79.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.81.00.00;Squales;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.82.00.00;Raies (Rajidae);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.83.00.00;Légines (Dissostichus spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.84.00.00;Bars (Dicentrarchus spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.85.00.00;Dorades (Sparidés) (Sparidae);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.89.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.91.00.00;Foies"," œufs et laitances;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.92.00.00;Ailerons de requins;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0302.99.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.11.00.00;Saumons rouges (Oncorhynchus nerka);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.12.00.00;Autres saumons du Pacifique (Oncorhynchus;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.13.00.00;Saumons de l'Atlantique (Salmo salar) et sau-;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.14.00.00;Truites (Salmo trutta"," Oncorhynchus mykiss"," On-;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.19.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.23.00.00;Tilapias (Oreochromis spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.24.00.00;Siluridés (Pangasius spp."," Silurus spp."," Clarias;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.25.00.00;Carpes (Cyprinus spp."," Carassius spp.",";kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.26.00.00;Anguilles (Anguilla spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.29.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.31.00.00;Flétans (Reinhardtius hippoglossoides"," Hippo-;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.32.00.00;Plies ou carrelets (Pleuronectes platessa);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.33.00.00;Soles (Solea spp.);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.34.00.00;Turbots (Psetta maxima);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.39.00.00;Autres;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.41.00.00;Thons blancs ou germons (Thunnus alalunga);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.42.00.00;Thons à nageoires jaunes (Thunnus albacares);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.43.00.00;Listaos ou bonites à ventre rayé;kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0303.44.00.00;Thons obèses (Thunnus obesus);kg;10;1;1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
